current_region,new_region,country
zanziba south,zanzibar south,
butha bothe,butha buthe,
botha bothe,butha buthe,
dar es salam,dar es salaam,
qasha's nek,qacha's nek,
siem reab,siem reap,
s nchez ramirez,sanchez ramirez,
svaay rieng,svay rieng,
maria trinidad s nchez,maria trinidad sanchez,
el seybo,el seibo,
san jos de ocoa,san jose de ocoa,
addis abeba,addis ababa,
addis adaba,addis ababa,
affar,afar,
grand'anse,grand anse,
grande anse,grand anse,
hauts basins,hauts bassins,
kampong chaam,kampong cham,
kandaal,kandal,
sar e pul,sar-e pul,Afghanistan
rajashahi,rajshahi,Bangladesh
rajshani,rajshahi,Bangladesh
kampong thum,kampong thom,Cambodia
ouaddaď,ouaddai,Chad
queme,oueme,Benin
prey veaeng,prey veng,Cambodia
battambang & krong pailin,battambang & pailin,Cambodia
kampot & krong kep,kampot & kep,Cambodia
b. e. t.,borkou/ennedi/tibesti,Chad
kasaď occident,kasai occidental,DRCongo
kasaď oriental,kasai oriental,DRCongo
saman ,samana,DominicanRepublic
saman,samana,DominicanRepublic
addis,addis ababa,Ethiopia_2000
ben gumz,benishangul gumuz,Ethiopia
benishangul,benishangul gumuz,Ethiopia
oromiya,oromia,Ethiopia
snnp,snnpr,Ethiopia
[ap] andhra pradesh,andhra pradesh,India
[ar] arunachal pradesh,arunachal pradesh,India
[as] assam,assam,India
[bh] bihar,bihar,India
[ch] chhattisgarh,chhattisgarh,India
[dl] delhi,delhi,India
[gj] gujarat,gujarat,India
[go] goa,goa,India
[hp] himachal pradesh,himachal pradesh,India
[hr] haryana,haryana,India
[jh] jharkhand,jharkhand,India
[jm] jammu and kashmir,jammu and kashmir,India
[ka] karnataka,karnataka,India
[ke] kerala,kerala,India
[mg] meghalaya,meghalaya,India
[mh] maharashtra,maharashtra,India
[mn] manipur,manipur,India
[mp] madhya pradesh,madhya pradesh,India
[mz] mizoram,mizoram,India
[na] nagaland,nagaland,India
[or] orissa,orissa,India
[pj] punjab,punjab,India
[rj] rajasthan,rajasthan,India
[sk] sikkim,sikkim,India
[tn] tamil nadu,tamil nadu,India
[tr] tripura,tripura,India
[uc] uttaranchal,uttaranchal,India
[up] uttar pradesh,uttar pradesh,India
[wb] west bengal,west bengal,India
cenrtal sulawesi,central sulawesi,Indonesia
central region,central,Malawi
north,northern,Malawi
northern region,northern,Malawi
south,southern,Malawi
southern region,southern,Malawi
i ilocos region,i ilocos,Philippines
v bicol region,v bicol,Philippines
xi davao peninsula,xi davao,Philippines
xi davao peninsula,xi davao,Philippines
kigali ville (pvk),kigali city (pvk),Rwanda
ville de kigali,kigali city,Rwanda
zuguinchor,ziguinchor,Senegal
northwestern,north western,Zambia
di aceh,aceh,Indonesia
di yogyakarta,yogyakarta,Indonesia
dki jakarta,jakarta,Indonesia
maluku utara,north maluku,Indonesia
anamoroni'i mania,amoron'i mania,Madagascar
region 1,Barima Waini,Guyana
region 2,Pomeroon Supenaam,Guyana
region 3,Essequibo Islands West Demerara,Guyana
region 4,Demerara Mahaica,Guyana
region 5,Mahaica Berbice,Guyana
region 6,East Berbice Corentyne,Guyana
region 7,Cuyuni Mazaruni,Guyana
region 8,Potaro Siparuni,Guyana
region 9,Upper Takutu Upper Essequibo,Guyana
region 10,Upper Demerara Berbice,Guyana
north,nord,Burundi
south,sud,Burundi
west,ouest,Burundi
sud sans abidjan,Sud (Sans Ville D'Abidjan),CotedIvoire
orientale,Province Orientale,DRCongo
djalal abad,Jalal-Abad,Kyrgyzstan
osh oblast,osh,Kyrgyzstan
kigali ngali,kigali rural,Rwanda
kigali rurale,kigali rural,Rwanda
kigali city (pvk),Kigali City,Rwanda
drs,DRD,Tajikistan
grande agglomeration de lome,lome,Togo
maritime (sans agglomeration de lome),maritime,Togo
southeast,south east,VietNam
do principe,principe,SaoTomeandPrincipe
northeastern,north eastern,Kenya
Amoron'I Mania,Amoron'i Mania,
Nwfp,NWFP,
Qacha'S Nek,Qacha's Nek,
Sar-E Pul,Sar-e Pul,
Snnpr,SNNPR,
Sadah,Sa'dah,Yemen
Sanaa,Sana'a,Yemen
Sanaa City,Sana'a City,Yemen
Reimah,Raymah,Yemen
Lahj,Lahej,Yemen
Al Mhweit,Al Mahwit,Yemen
Al Mhrah,Al Mahrah,Yemen
Mohale'S Hoek,Mohale's Hoek,Lesotho
Drd,DRD,Tajikistan
