iso_code3,region   ,new_region,country
,fbih,federation of bosnia and herzegovina,BosniaandHerzegovina
,rs,republic of srpska,BosniaandHerzegovina
,bd,district of brcko,BosniaandHerzegovina
,ciudad habana,la habana,Cuba
,kma,kingston metropolitan area,Jamaica
,kostanai,kostanay,Kazakhstan
,karagandy,karaganda,Kazakhstan
,zhambul,zhambyl,Kazakhstan
,south kasakhstan,south kazakhstan,Kazakhstan
,almaty oblast,almaty,Kazakhstan
,western kazakhstan,west kazakhstan,Kazakhstan
,aktubinsk,aktobe,Kazakhstan
,mangistau,mangystau,Kazakhstan
,osh oblast,osh,Kyrgyzstan
,fct abuja,fct (abuja),Nigeria
,dier el balah,deir el-balah,Palestine
,deir el balah,deir el-balah,Palestine
,jericho and al aghwar,jericho,Palestine
,ap vojvodina,vojvodina,Serbia
,city of belgrade,belgrade,Serbia
,wite nile,white nile,Sudan
,north,northern,Thailand
,south,southern,Thailand
,northeast,northeastern,Thailand
,northen midlands and mountain area,northern midlands and mountain area,VietNam
,djalal abad,jalal-abad,Kyrgyzstan
,hodh charghy,hodh ech charghi,Mauritania
,hodh gharby,hodh el gharbi,Mauritania
,tirs ezemour,tiris zemmour,Mauritania
,south and east serbia,southeast,Serbia
,centre (sans yaounde),centre,Cameroon
,littoral (sans douala),littoral,Cameroon
,sud sans ville d'abidjan,sud (sans ville d'abidjan),CotedIvoire
,asante,ashanti,Ghana
,bet,Borkou/Ennedi/Tibesti,Chad
,ndjamena,N'Djamena,Chad
,autonoma de principe,principe,SaoTomeandPrincipe
,bhata,batha,Chad
,wad fira,wadi fira,Chad
,ombella mpoko,Ombella M'Poko,CentralAfricanRepublic
,Region Ch,Region CH,
,Region Ne,Region NE,
,Region Se,Region SE,
,Df Edo Mexico,DF Edo. de Mexico,Mexico
,Fct (Abuja),FCT (Abuja),
