name,name_new,varlab_es,varlab_en,varlab_fr,encode,keep
country,country,,Country name,,,1
year_file,year_file,File year,File year,,,1
hhid,hhid,,,,,1
hvidx,hvidx,,,,,1
hv000,hv000,,,,,1
hv001,hv001,,,,,1
hv002,hv002,,,,,1
hv003,hv003,,,,,1
hv005,hv005,,,,,1
hv006,hv006,,,,,1
hv007,hv007,,,,,1
hv008,hv008,,,,,1
hv016,hv016,,,,,1
hv009,hv009,,,,,1
hv024,hv024,,,,decode,1
hv025,hv025,,,,,1
hv270,hv270,,,,,1
hv102,hv102,,,,,1
hv104,hv104,,,,,1
hv105,hv105,,,,,1
hv106,hv106,,,,,1
hv107,hv107,,,,,1
hv108,hv108,,,,,1
hv109,hv109,,,,,1
hv121,hv121,,,,,1
hv122,hv122,,,,,1
hv123,hv123,,,,,1
hv124,hv124,,,,,1
hv125,hv125,,,,,1
hv126,hv126,,,,,1
hv127,hv127,,,,,1
hv128,hv128,,,,,1
hv129,hv129,,,,decode,1
